"You created the order.","Ustvarili ste naročilo.",module,Magento_Authorizenet
"Order saving error: %1","Napaka shranjevanja naročila: %1",module,Magento_Authorizenet
"Please choose a payment method.","Izberite način plačila.",module,Magento_Authorizenet
"We can't process your order right now. Please try again later.","Vašega naročila trenutno ne moremo obdelati. Poskusite znova pozneje.",module,Magento_Authorizenet
"An error occurred on the server. Please try to place the order again.","Na strežniku je prišlo do napake. Prosimo, poskusite ponovno oddati naročilo.",module,Magento_Authorizenet
"Cannot place order.","Naročila ni mogoče oddati.",module,Magento_Authorizenet
"Credit Card: xxxx-%1","Kreditna kartica: xxxx-%1",module,Magento_Authorizenet
"amount %1","znesek %1",module,Magento_Authorizenet
"failed.","ni uspelo.",module,Magento_Authorizenet
"successful.","uspešno.",module,Magento_Authorizenet
"Authorize.Net Transaction ID %1.","ID transakcije Authorize.Net %1.",module,Magento_Authorizenet
"authorize","dovoli",module,Magento_Authorizenet
"authorize and capture","dovoli in zajemi",module,Magento_Authorizenet
"capture","zajem",module,Magento_Authorizenet
"refund","vračilo",module,Magento_Authorizenet
"void","prazno",module,Magento_Authorizenet
"Gateway error: %1","Napaka prehoda: %1",module,Magento_Authorizenet
"Something went wrong in the payment gateway.","Na plačilnem prehodu je šlo nekaj narobe.",module,Magento_Authorizenet
"Invalid amount for capture.","Neveljaven znesek za zajem.",module,Magento_Authorizenet
"Payment capturing error.","Napaka zajema plačila.",module,Magento_Authorizenet
"Invalid transaction ID.","Neveljaven ID transakcije.",module,Magento_Authorizenet
"Payment voiding error.","Napaka ničenja plačila.",module,Magento_Authorizenet
"Invalid amount for refund.","Neveljaven znesek za nadomestilo.",module,Magento_Authorizenet
"Payment refunding error.","Napaka vračila plačila.",module,Magento_Authorizenet
"The transaction was declined because the response hash validation failed.","Transakcija je bila zavrnjena zaradi neuspešnega odziva zgoščene vrednosti.",module,Magento_Authorizenet
"This payment didn't work out because we can't find this order.","To plačilo ni uspelo, ker tega naročila ni mogoče najti.",module,Magento_Authorizenet
"There was a payment authorization error.","Prišlo je do napake avtorizacije plačila.",module,Magento_Authorizenet
"Please enter a transaction ID to authorize this payment.","Za avtorizacijo tega plačila vnesite ID transakcije.",module,Magento_Authorizenet
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Nekaj je šlo narobe: plačani znesek se ne ujema z zneskom naročila. Popravite in poskusite znova.",module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transakcija %1 je bila odobrena. Znesek %2. Stanje transakcije je ""%3""",module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transakcija %1 je bila razveljavljena/zavrnjena. Stanje transakcije je ""%2"". Znesek %3.",module,Magento_Authorizenet
"Authorize Only","Samo avtoriziraj",module,Magento_Authorizenet
"Authorize and Capture","Dovoli in zajemi",module,Magento_Authorizenet
"Unable to get transaction details. Try again later.","Podrobnosti transakcije ni mogoče dobiti. Poskusite znova pozneje.",module,Magento_Authorizenet
"Credit Card Type","Vrsta kreditne kartice",module,Magento_Authorizenet
"Credit Card Number","Številka kreditne kartice",module,Magento_Authorizenet
"Expiration Date","Datum poteka",module,Magento_Authorizenet
"Card Verification Number","Potrditvena številka kartice",module,Magento_Authorizenet
"Fraud Detection ","Odkrivanje goljufij ",module,Magento_Authorizenet
"FDS Filter Action","Dejanje FDS filtra",module,Magento_Authorizenet
"AVS Response","AVS odgovor",module,Magento_Authorizenet
"Card Code Response","Odziv kode kartice",module,Magento_Authorizenet
"CAVV Response","CAVV odziv",module,Magento_Authorizenet
"Fraud Filters","Filtri goljufij",module,Magento_Authorizenet
"Authorize.net Direct Post","Authorize.net Direct Post",module,Magento_Authorizenet
"Enabled","Omogočeno",module,Magento_Authorizenet
"Payment Action","Dejanje plačila",module,Magento_Authorizenet
"Title","Naslov",module,Magento_Authorizenet
"API Login ID","ID prijave API",module,Magento_Authorizenet
"Transaction Key","Ključ transakcije",module,Magento_Authorizenet
"Merchant MD5","MD5 trgovca",module,Magento_Authorizenet
"New Order Status","Status novega naročila",module,Magento_Authorizenet
"Test Mode","Tesni način",module,Magento_Authorizenet
"Gateway URL","URL prehoda",module,Magento_Authorizenet
"Transaction Details URL","URL podrobnosti transakcije",module,Magento_Authorizenet
"Accepted Currency","Sprejeta valuta",module,Magento_Authorizenet
"Debug","Razhroščevanje",module,Magento_Authorizenet
"Email Customer","E-pošta kupcu",module,Magento_Authorizenet
"Merchant's Email","E-pošta trgovca",module,Magento_Authorizenet
"Credit Card Types","Vrsta kreditne kartice",module,Magento_Authorizenet
"Credit Card Verification","Potrditev kreditne kartice",module,Magento_Authorizenet
"Payment from Applicable Countries","Plačilo iz uporabljenih držav",module,Magento_Authorizenet
"Payment from Specific Countries","Plačilo iz določenih držav",module,Magento_Authorizenet
"Minimum Order Total","Najmanjši skupni znesek naročila",module,Magento_Authorizenet
"Maximum Order Total","Največji skupni znesek naročila",module,Magento_Authorizenet
"Sort Order","Vrstni red",module,Magento_Authorizenet
"Place Order","Oddaj naročilo",module,Magento_Authorizenet
