"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your cart. You can always remove it later.",module,Magento_Msrp
"See price before order confirmation.","Poglej ceno pred potrditvijo naročila.",module,Magento_Msrp
"On Gesture","Na potezo",module,Magento_Msrp
"In Cart","V košarici",module,Magento_Msrp
"Before Order Confirmation","Potrditev pred naročilom",module,Magento_Msrp
"Use config","Uporabi nastavitev",module,Magento_Msrp
"Click for price","Kliknite za ceno",module,Magento_Msrp
"What's this?","Kaj je to?",module,Magento_Msrp
"Order total will be displayed before you submit the order","Preden oddate naročilo, bo prikazan skupni znesek naročila",module,Magento_Msrp
"You will see the order total before you submit the order.","Preden oddate naročilo, boste videli skupni znesek naročila.",module,Magento_Msrp
"Price","Cena",module,Magento_Msrp
"Actual Price","Dejanska cena",module,Magento_Msrp
"Add to Cart","Dodaj v košarico",module,Magento_Msrp
"Minimum Advertised Price","Minimum Advertised Price",module,Magento_Msrp
"Enable MAP","Enable MAP",module,Magento_Msrp
"Display Actual Price","Display Actual Price",module,Magento_Msrp
"Default Popup Text Message","Default Popup Text Message",module,Magento_Msrp
"Default ""What's This"" Text Message","Default ""What's This"" Text Message",module,Magento_Msrp
